Country,Restrictions,Democracy Index
Afghanistan,12,2.85
Aland Islands,12,
Albania,14,6.03
Algeria,21,3.665
American Samoa,12,
Andorra,12,
Angola,12,3.66
Anguilla,12,
Antarctica,12,
Antigua,12,
Argentina,926,6.978333333333333
Armenia,12,5.35
Aruba,12,
Australia,473,9.045714285714286
Austria,3190,8.37428571428571
Azerbaijan,13,2.665
Bahrain,12,2.49
Bangladesh,392,5.82875
Barbados,13,
Belarus,13,2.86
Belgium,719,7.712000000000001
Belize,12,
Benin,12,4.58
Bermuda,12,
Bhutan,19,5.505
Bolivia,15,5.390000000000001
"Bonaire, Sint Eustatius and Saba",12,
Bosnia and Herzegovina,13,4.84
Botswana,12,7.62
Bouvet Island,12,
Brazil,26049,6.947692307692308
British Indian Ocean Territory,12,
British Virgin Islands,12,
Brunei,12,
Bulgaria,22,6.95
Burkina Faso,12,3.73
Burundi,12,2.14
Cambodia,13,3.365
Cameroon,12,2.77
Canada,318,9.19
Cape Verde,12,7.65
Cayman Islands,12,
Central African Republic,12,1.32
Chad,12,1.55
Chile,15,8.125
China,17,2.705
Christmas Island,12,
Cocos (Keeling) Islands,12,
Colombia,301,6.952
Comoros,12,3.09
Cook Islands,12,
Costa Rica,176,8.067499999999999
Croatia,23,6.553999999999999
Cuba,12,2.84
Curacao,12,
Cyprus,28,7.580000000000001
Czech Republic,41,7.674285714285715
Democratic Republic of the Congo,12,1.13
Denmark,28,9.196666666666667
Djibouti,12,2.71
Dominica,12,
Dominican Republic,17,6.506666666666667
Ecuador,17,6.14
Egypt,23,3.1514285714285712
El Salvador,14,6.025
Equatorial Guinea,12,1.92
Eritrea,12,2.15
Estonia,26,7.869999999999999
Ethiopia,12,3.38
Falkland Islands,12,
Faroe Islands,12,
Federated States of Micronesia,12,
Fiji,19,5.806666666666666
Finland,34,9.131666666666668
France,43816,7.9399999999999995
French Guiana,12,
French Polynesia,17,
French Southern Territories,12,
Gabon,14,3.575
Georgia,12,5.31
Germany,12919,8.627333333333334
Ghana,15,6.625
Gibraltar,12,
Greece,37,7.353333333333334
Greenland,13,
Grenada,12,
Guadeloupe,12,
Guam,12,
Guatemala,23,5.35
Guernsey,12,
Guinea,12,3.08
Guinea-Bissau,12,2.63
Guyana,12,6.01
Haiti,14,4.566666666666666
Heard Island and McDonald Islands,12,
Honduras,14,5.54
Hong Kong,879,6.130909090909091
Hungary,51,6.608333333333333
Iceland,16,9.37
India,74674,7.371333333333336
Indonesia,1816,6.472857142857142
Iran,12,2.2
Iraq,15,3.7000000000000006
Ireland,327,9.1475
Isle Of Man,12,
Israel,5102,7.772666666666668
Italy,3706,7.813571428571427
Ivory Coast,12,4.11
Jamaica,12,7.13
Japan,21,8.025
Jersey,17,
Jordan,12,3.62
Kazakhstan,70,3.054444444444445
Kenya,27,5.08
Kiribati,12,
Kosovo,15,
Kuwait,33,3.79
Kyrgyzstan,12,4.21
Laos,13,1.955
Latvia,51,7.318571428571429
Lebanon,69,4.443333333333333
Lesotho,12,6.3
Liberia,12,5.32
Libya,13,1.9849999999999999
Liechtenstein,12,
Lithuania,39,7.385
Luxembourg,19,8.7775
Macau,12,
Macedonia,12,
Madagascar,12,5.7
Malawi,12,5.74
Malaysia,683,7.02
Maldives,12,
Mali,12,3.93
Malta,25,8.040000000000001
Marshall Islands,12,
Martinique,12,
Mauritania,12,3.92
Mauritius,12,8.14
Mayotte,12,
Mexico,45217,6.221111111111112
Moldova,12,5.78
Monaco,128,
Mongolia,146,6.48
Montenegro,12,5.77
Montserrat,12,
Morocco,46,5.0233333333333325
Mozambique,12,3.51
Myanmar,31,3.573333333333333
Namibia,12,6.52
Nauru,12,
Nepal,12,5.22
Netherlands,717,8.922222222222224
Netherlands Antilles,12,
New Caledonia,12,
New Zealand,49,9.2575
Nicaragua,23,3.61
Niger,12,3.29
Nigeria,13,4.1
Niue,12,
Norfolk Island,12,
North Korea,12,1.08
Northern Mariana Islands,12,
Norway,29,9.862499999999999
Oman,12,3.0
Pakistan,19588,4.354285714285714
Palau,12,
Palestine,13,4.109999999999999
Panama,138,7.081999999999999
Papua New Guinea,13,6.0649999999999995
Paraguay,12,6.18
Peru,45,6.558333333333334
Philippines,19,6.65
Pitcairn,12,
Poland,108,6.707142857142857
Portugal,48,7.913333333333333
Puerto Rico,12,
Qatar,12,3.24
Republic of the Congo,12,3.11
Reunion,12,
Romania,33,6.452857142857142
Russia,9485,3.235333333333334
Rwanda,12,3.1
Saint Barthelemy,12,
Saint Helena,12,
Saint Kitts and Nevis,12,
Saint Martin,12,
Saint Pierre and Miquelon,12,
Saint Vincent and the Grenadines,12,
Samoa,17,
San Marino,12,
Sao Tome and Principe,12,
Saudi Arabia,45,1.9616666666666667
Senegal,12,5.67
Serbia,12,6.22
Seychelles,12,
Sierra Leone,12,4.86
Singapore,571,6.1433333333333335
Sint Maarten,12,
Slovakia,215,7.1000000000000005
Slovenia,90,7.51
Solomon Islands,12,
Somalia,12,
South Africa,19,7.208333333333333
South Georgia and the South Sandwich Islands,12,
South Korea,3317,7.983333333333334
South Sudan,12,
Spain,886,8.185454545454546
Sri Lanka,2528,6.202
St. Lucia,12,
Sudan,12,2.54
Suriname,18,6.9
Svalbard and Jan Mayen,12,
Swaziland,12,
Sweden,19,9.3575
Switzerland,45,8.972857142857142
Syria,12,1.43
Taiwan,46,8.133333333333333
Tajikistan,12,1.94
Tanzania,12,5.1
Thailand,4740,5.321666666666666
The Bahamas,12,
The Gambia,12,
Timor-Leste,12,7.06
Togo,12,2.8
Tokelau,12,
Tonga,12,
Trinidad and Tobago,20,7.16
Tunisia,15,6.44
Turkey,26589,4.788666666666668
Turkmenistan,12,1.72
Turks and Caicos Islands,12,
Tuvalu,12,
US Virgin Islands,12,
Uganda,12,4.94
Ukraine,58,5.765
United Arab Emirates,82,2.691111111111111
United Kingdom,11215,8.434
United States,39,7.92
United States Minor Outlying Islands,12,
Uruguay,15,8.495000000000001
Uzbekistan,15,2.12
Vanuatu,12,
Vatican City,12,
Venezuela,13,2.96
Vietnam,5092,3.04
Wallis and Futuna,12,
Western Sahara,12,
Yemen,12,1.95
Zambia,12,4.86
Zimbabwe,12,3.16
